title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories,url
AN AMISH CRADLE (FOUR NOVELLAS),"Wiseman, Beth",Paperback,$15.99 ,$2.75 ,6,9.78053E+12,Thomas Nelson,2/17/15,"8.41"" l x 5.49"" w x 1.10""","['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780529118677B/an-amish-cradle-four-novellas
AN AMISH SCHOOLROOM: THREE STORIES,"Clipston, Amy",Pocket Books,$9.99 ,$2.50 ,17,9.78084E+12,Zondervan,8/16/22,"7.00"" l x 5.00"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Religious', 'Fiction', 'Anthologies (multiple authors)']",https://www.bookdepot.com/Store/Details/9780840707079B/an-amish-schoolroom-three-stories
"AN AMISH SURPRISE (BERLIN BOOKMOBILE, BK. 2)","Gray, Shelley Shepard",Paperback,$16.00 ,$1.38 ,156,9.78198E+12,Gallery Books,5/18/21,"8.28"" l x 5.37"" w x 0.87""","['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9781982148454B/an-amish-surprise-berlin-bookmobile-bk-2
AN ASTROLOGICAL GUIDE FOR BROKEN HEARTS,"Zucca, Silvia",Paperback,$20.99 ,$3.50 ,13,9.78167E+12,Atria Books,11/16/21,"8.21"" l x 5.40"" w x 1.07""","['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781668004128B/an-astrological-guide-for-broken-hearts
"AN IMPOSSIBLE IMPOSTOR (A VERONICA SPEEDWELL MYSTERY, BK. 7)","Raybourn, Deanna",Hardcover,$26.00 ,$3.50 ,763,9.78059E+12,Berkley Hardcover,2/15/22,"9.25"" l x 6.27"" w x 1.30""","['Fiction', 'Romance', 'Fiction', 'Mystery & Detective']",https://www.bookdepot.com/Store/Details/9780593197295B/an-impossible-impostor-a-veronica-speedwell-m
AN ISLAND SUMMER,"Hale, Jenny",Paperback,$17.99 ,$3.00 ,831,9.78154E+12,Forever,4/30/24,"7.99"" l x 4.92"" w x 0.87""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781538756065B/an-island-summer
AN ISLAND WEDDING,"Colgan, Jenny",Hardcover,$28.99 ,$2.81 ,57,9.78006E+12,Avon Books,6/14/22,"9.28"" l x 6.20"" w x 1.43""","['Fiction', 'Holidays', 'Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780063243132B/an-island-wedding
AN ISLAND WEDDING,"Colgan, Jenny",Paperback,$21.99 ,$3.75 ,22,9.78006E+12,HarperCollins Publishers,6/14/22,"9.01"" l x 5.87"" w x 1.40""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780063242340B/an-island-wedding
AN ISLAND WEDDING,"Colgan, Jenny",Paperback,$16.99 ,$3.00 ,4,9.78006E+12,Avon Books,6/14/22,"7.96"" l x 5.23"" w x 1.12""","['Fiction', 'Romance', 'Fiction', 'Holidays', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780063141889B/an-island-wedding
"AN UNCONDITIONAL FREEDOM: AN EPIC LOVE STORY OF THE CIVIL WAR (THE LOYAL LEAGUE, BK. 3)","Cole, Alyssa",Paperback,$16.95 ,$3.00 ,26,9.7815E+12,Kensington Publishing Corporation,7/25/23,"8.25"" l x 5.50"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'African American']",https://www.bookdepot.com/Store/Details/9781496739148B/an-unconditional-freedom-an-epic-love-story-o
