begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2024-04-11T00:00:00Z,156.910000,159.410000,159.680000,156.460000,27166431,reg,False,GOOGL
2024-04-12T00:00:00Z,157.960000,157.730000,160.222500,157.140000,25353746,reg,False,GOOGL
2024-04-15T00:00:00Z,158.860000,154.860000,159.240000,154.590000,27136472,reg,False,GOOGL
2024-04-16T00:00:00Z,154.190000,154.400000,155.650000,153.430000,20779495,reg,False,GOOGL
2024-04-17T00:00:00Z,155.620000,155.470000,157.080000,154.580000,21763130,reg,False,GOOGL
2024-04-18T00:00:00Z,155.340000,156.010000,156.940000,154.620000,19883044,reg,False,GOOGL
2024-04-19T00:00:00Z,156.200000,154.090000,156.360000,152.300000,32615639,reg,False,GOOGL
2024-04-22T00:00:00Z,154.310000,156.280000,157.640000,154.060000,26446206,reg,False,GOOGL
2024-04-23T00:00:00Z,156.960000,158.270000,158.970000,156.280000,21151568,reg,False,GOOGL
2024-04-24T00:00:00Z,157.490000,159.130000,159.565000,157.165000,22779112,reg,False,GOOGL
2024-04-25T00:00:00Z,151.330000,156.000000,156.490000,150.870000,57109730,reg,False,GOOGL
2024-04-26T00:00:00Z,174.370000,171.950000,174.710000,169.650000,64665299,reg,False,GOOGL
2024-04-29T00:00:00Z,169.058000,166.150000,169.550000,165.210000,45610024,reg,False,GOOGL
2024-04-30T00:00:00Z,165.612000,162.780000,168.100000,162.600000,33562861,reg,False,GOOGL
2024-05-01T00:00:00Z,164.300000,163.860000,167.120000,163.090000,33493151,reg,False,GOOGL
2024-05-02T00:00:00Z,164.785000,166.620000,166.730000,163.890000,24294549,reg,False,GOOGL
2024-05-03T00:00:00Z,167.560000,167.240000,167.960000,163.050000,34662432,reg,False,GOOGL
2024-05-06T00:00:00Z,167.460000,168.100000,168.140000,166.030000,21871283,reg,False,GOOGL
2024-05-07T00:00:00Z,168.500000,171.250000,171.760000,168.390000,28039696,reg,False,GOOGL
2024-05-08T00:00:00Z,169.000000,169.380000,170.150000,168.735000,19569146,reg,False,GOOGL
2024-05-09T00:00:00Z,169.390000,169.960000,170.690000,168.180000,15346700,reg,False,GOOGL
2024-05-10T00:00:00Z,168.025000,168.650000,169.850000,166.190000,29799931,reg,False,GOOGL
2024-05-13T00:00:00Z,164.260000,169.140000,169.280000,164.000000,31327602,reg,False,GOOGL
2024-05-14T00:00:00Z,169.770000,170.340000,171.250000,168.800000,25127138,reg,False,GOOGL
2024-05-15T00:00:00Z,170.630000,172.510000,172.650000,170.510000,26948370,reg,False,GOOGL
2024-05-16T00:00:00Z,173.290000,174.180000,175.115000,172.690000,27867947,reg,False,GOOGL
2024-05-17T00:00:00Z,174.180000,176.130000,176.265000,173.690000,24479262,reg,False,GOOGL
2024-05-20T00:00:00Z,176.192000,176.920000,178.770000,176.080000,22554400,reg,False,GOOGL
2024-05-21T00:00:00Z,176.900000,177.850000,178.150000,175.810000,16989369,reg,False,GOOGL
2024-05-22T00:00:00Z,176.644000,176.380000,177.150000,175.210000,17880042,reg,False,GOOGL
2024-05-23T00:00:00Z,177.070000,173.550000,178.250000,172.950000,21024935,reg,False,GOOGL
2024-05-24T00:00:00Z,174.980000,174.990000,175.770000,173.650000,16579438,reg,False,GOOGL
2024-05-28T00:00:00Z,174.450000,176.400000,177.270000,174.365000,20572157,reg,False,GOOGL
2024-05-29T00:00:00Z,175.430000,175.900000,176.836000,174.720000,23388693,reg,False,GOOGL
2024-05-30T00:00:00Z,175.200000,172.150000,175.220000,171.790000,22958677,reg,False,GOOGL
2024-05-31T00:00:00Z,171.860000,172.510000,173.060000,169.440000,37638876,reg,False,GOOGL
2024-06-03T00:00:00Z,172.540000,173.170000,174.525000,171.160000,27459118,reg,False,GOOGL
2024-06-04T00:00:00Z,173.280000,173.790000,173.845000,171.890000,26879596,reg,False,GOOGL
2024-06-05T00:00:00Z,175.200000,175.410000,176.645000,173.933900,22068519,reg,False,GOOGL
2024-06-06T00:00:00Z,175.895000,176.780000,177.150000,175.750000,23251013,reg,False,GOOGL
2024-06-07T00:00:00Z,177.050000,174.460000,177.870000,174.300000,19661399,reg,False,GOOGL
2024-06-10T00:00:00Z,174.970000,175.010000,177.060000,172.760000,23779218,reg,False,GOOGL
2024-06-11T00:00:00Z,176.220000,176.620000,176.840000,173.770100,21540582,reg,False,GOOGL
2024-06-12T00:00:00Z,178.250000,177.790000,180.410000,176.110000,27864737,reg,False,GOOGL
2024-06-13T00:00:00Z,176.110000,175.160000,176.740000,174.880000,20913299,reg,False,GOOGL
