cover,title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories
https://images.bookdepot.com/covers/large/isbn978006/9780062914248-l.jpg,SUGAR AND SALT,"Wiggs, Susan",Pocket Books,$9.99,$2.50,198,9780062914248,William Morrow & Company,N/A,"6.61"" l x 4.07"" w x 1.23""","['Fiction', 'Family Life', 'Fiction', 'Contemporary', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978006/9780062914224-l.jpg,SUGAR AND SALT,"Wiggs, Susan",Hardcover,$27.99,$3.75 $1.88,119,9780062914224,William Morrow & Company,N/A,"9.26"" l x 6.19"" w x 1.35""","['Fiction', 'Family Life', 'Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978006/9780063211193-l.jpg,SUGAR AND SALT (LARGE PRINT EDITION),"Wiggs, Susan",Paperback,$29.99,$5.00,55,9780063211193,HarperCollins Publishers,N/A,"8.98"" l x 5.91"" w x 1.42""","['Fiction', 'Family Life', 'Fiction', 'Romance', 'Fiction', ""Women's Fiction""]"
https://images.bookdepot.com/covers/large/isbn978125/9781250079138-l.jpg,SUMMER DAYS AND SUMMER NIGHTS: TWELVE LOVE STORIES,"Perkins, Stephanie (Edt)",Paperback,$17.99,$3.00,24,9781250079138,St. Martin's Griffin,N/A,"8.32"" l x 5.44"" w x 1.06""","['Fiction', 'Short Stories', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978006/9780062897916-l.jpg,"THE SUMMER DEAL (THE WILDSTONE SERIES, BK. 5)","Shalvis, Jill",Paperback,$16.99,$3.00 $1.50,22,9780062897916,William Morrow & Company,N/A,"8.00"" l x 5.50"" w x 1.00""","['Fiction', 'Family Life', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978153/9781538734391-l.jpg,THE SUMMER HOUSE,"Hale, Jenny",Pocket Books,$7.99,$2.00,485,9781538734391,Forever,N/A,"6.73"" l x 4.10"" w x 0.97""","['Fiction', 'Romance', 'Fiction', 'Family Life', 'Fiction', ""Women's Fiction""]"
https://images.bookdepot.com/covers/large/isbn978059/9780593358429-l.jpg,SUMMER LOVE,"Thayer, Nancy",Hardcover,$28.00,$3.75,426,9780593358429,Ballantine Books,N/A,"9.57"" l x 6.36"" w x 1.12""","['Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978059/9780593334881-l.jpg,"SUMMER PROMISE (AMISH SEASON, BK. 1)","Ellis, Marianne",Pocket Books,$7.99,$2.00 $1.75,3,9780593334881,Berkley Publishing Group,N/A,"6.75"" l x 4.19"" w x 0.86""","['Fiction', 'Romance', 'Fiction', 'Religious']"
https://images.bookdepot.com/covers/large/isbn978077/9780778369905-l.jpg,"THE SUMMER RETREAT (A MOONLIGHT HARBOR, BK. 3)","Roberts, Sheila",Hardcover,$26.99,$3.50 $2.62,28,9780778369905,Mira,N/A,"9.21"" l x 6.23"" w x 1.18""","['Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978006/9780062371249-l.jpg,SUMMER AT LITTLE BEACH STREET BAKERY,"Colgan, Jenny",Paperback,$18.99,$3.25,1,9780062371249,William Morrow & Company,N/A,"8.07"" l x 5.28"" w x 1.06""","['Fiction', 'Contemporary', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978006/9780063073739-l.jpg,SUMMER AT LITTLE BEACH STREET BAKERY (THE LITTLE BEACH STREET BAKERY),"Colgan, Jenny",Paperback,$9.99,$1.75 $1.31,9,9780063073739,William Morrow & Company,N/A,"7.00"" l x 4.74"" w x 1.06""","['Fiction', 'Contemporary', 'Fiction', 'Romance']"
https://images.bookdepot.com/covers/large/isbn978153/9781538720585-l.jpg,SUMMER BY THE SEA,"Hale, Jenny",Paperback,$12.99,$2.25,502,9781538720585,Forever,N/A,"8.35"" l x 5.47"" w x 1.10""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Humorous']"
https://images.bookdepot.com/covers/large/isbn978080/9780800737399-l.jpg,"SUMMER IN THE SPOTLIGHT (PRINCE EDWARD ISLAND SHORES, BK. 3)","Johnson, Liz",Paperback,$16.99,$3.00,30,9780800737399,Revell,N/A,"8.50"" l x 5.53"" w x 1.03""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Religious']"
https://images.bookdepot.com/covers/large/isbn978198/9781982148348-l.jpg,"THE SUMMER OF LOST AND FOUND (THE BEACH HOUSE, BK. 7)","Monroe, Mary Alice",Hardcover,$28.00,$3.75 $2.81,1000+,9781982148348,Gallery Books,N/A,"8.82"" l x 5.80"" w x 1.31""","['Fiction', 'Romance', 'Fiction', 'Family Life']"
